N,MSE
956,5.775699729108344e-26
957,5.775653445155537e-26
958,5.775634110464613e-26
959,5.775643982825743e-26
960,5.775630684090247e-26
961,5.775589962618932e-26
962,5.77553103319748e-26
963,5.775499345814837e-26
964,5.775504908074737e-26
965,5.77543168051522e-26
966,5.775369482549458e-26
967,5.77533491831533e-26
968,5.775333333787001e-26
969,5.77539662896188e-26
970,5.77514072468459e-26
971,5.775055889529192e-26
972,5.775045809340836e-26
973,5.775067094526297e-26
974,5.775018638144747e-26
975,5.775007064871886e-26
976,5.775006888822e-26
977,5.775038949752565e-26
978,5.774913225883399e-26
979,5.774866819229627e-26
980,5.774812015500778e-26
981,5.774829212596835e-26
982,5.774861307653671e-26
983,5.77479533069829e-26
984,5.774763800728823e-26
985,5.77483765002242e-26
986,5.774770018056291e-26
987,5.774687653687036e-26
988,5.774675908301147e-26
989,5.774656642681364e-26
990,5.774648286435275e-26
991,5.774563980774255e-26
992,5.774562048797368e-26
993,5.774507693470555e-26
994,5.774467861304249e-26
995,5.774420722424376e-26
996,5.774373941169961e-26
997,5.774498200154952e-26
998,5.774388697435015e-26
999,5.774390154716512e-26
1000,5.774362543071021e-26
1001,5.774282723978882e-26
1002,5.774218548229031e-26
1003,5.774065554346679e-26
1004,5.774063973219069e-26
1005,5.773993732035302e-26
1006,5.773951327875335e-26
1007,5.773993283258685e-26
1008,5.773962148378762e-26
1009,5.773946794021645e-26
1010,5.773942801923097e-26
1011,5.773906501240411e-26
1012,5.773973157201624e-26
1013,5.774024561233111e-26
1014,5.773996457756718e-26
1015,5.773927028386132e-26
1016,5.773885806461471e-26
1017,5.774062391841928e-26
1018,5.774001162061881e-26
1019,5.774045757654596e-26
1020,5.773917538679786e-26
1021,5.774016833115093e-26
1022,5.773978879249914e-26
1023,5.773964096161873e-26
1024,5.77397188575554e-26
1025,5.774299148487053e-26
1026,5.774291779498404e-26
1027,5.774260942454151e-26
1028,5.774228430529487e-26
1029,5.774199861773394e-26
1030,5.774098000519333e-26
1031,5.774033927009272e-26
1032,5.7739843945915e-26
1033,5.773894739182197e-26
1034,5.773895978874764e-26
1035,5.773860748216499e-26
1036,5.773801815055597e-26
1037,5.773758401509424e-26
1038,5.773782618518763e-26
1039,5.773685888901637e-26
1040,5.77364478214609e-26
1041,5.773642193055196e-26
1042,5.773659244536991e-26
1043,5.773610992059074e-26
1044,5.773535377510737e-26
1045,5.773527594926423e-26
1046,5.773568137385227e-26
1047,5.773536398111347e-26
1048,5.773526091881626e-26
1049,5.773554671027689e-26
1050,5.773479640272786e-26
1051,5.77350121537226e-26
1052,5.773464987120694e-26
1053,5.77345787953975e-26
1054,5.773458522926813e-26
1055,5.773457129857665e-26
1056,5.773434624623294e-26
1057,5.773355636759341e-26
1058,5.77327714558723e-26
1059,5.773220311644625e-26
1060,5.773190430705963e-26
1061,5.773101977960308e-26
1062,5.77313600640169e-26
1063,5.773076334178747e-26
1064,5.773073747366364e-26
1065,5.773102267035594e-26
1066,5.773101341528541e-26
1067,5.773155775198929e-26
1068,5.773103917387117e-26
1069,5.773047754098053e-26
1070,5.773012885369322e-26
1071,5.773017247763912e-26
1072,5.772994598180833e-26
1073,5.773020563014512e-26
1074,5.772888351578038e-26
1075,5.772812376489513e-26
1076,5.7728462077891e-26
1077,5.77274742064099e-26
1078,5.772685482934729e-26
1079,5.772735574988258e-26
1080,5.772719959914941e-26
1081,5.772685432966854e-26
1082,5.77266118095122e-26
1083,5.77266983666966e-26
1084,5.772642264806214e-26
1085,5.77264479235862e-26
1086,5.77269373506997e-26
1087,5.77262872279327e-26
1088,5.772607138719023e-26
1089,5.772657199918039e-26
1090,5.772564653928994e-26
1091,5.772518209831142e-26
1092,5.772552694729192e-26
1093,5.772526784561142e-26
1094,5.772486697158728e-26
1095,5.772467482259575e-26
1096,5.772431047703078e-26
1097,5.7722819325059e-26
1098,5.772296849555019e-26
1099,5.772379089077247e-26
1100,5.772375294123741e-26
1101,5.772257793629955e-26
1102,5.77221727778189e-26
1103,5.772195125662846e-26
1104,5.7721420985058e-26
1105,5.772106616839991e-26
1106,5.772104099308808e-26
1107,5.772052252544156e-26
1108,5.772044161527136e-26
1109,5.772065830300233e-26
1110,5.772004845585538e-26
1111,5.772028320894609e-26
1112,5.772008243135512e-26
1113,5.771932437954011e-26
1114,5.771945718993057e-26
1115,5.771988799914197e-26
1116,5.771896745787948e-26
1117,5.771885747347607e-26
1118,5.771857939129718e-26
1119,5.771900542608453e-26
1120,5.77183772158844e-26
1121,5.771625785646974e-26
1122,5.771568452991272e-26
1123,5.771537821879048e-26
1124,5.77149711453782e-26
